"question","answer"
"ما هو Python؟","Python لغة برمجة عالية المستوى، سهلة التعلم ومتعددة الاستخدامات. تُستخدم في تطوير الويب، تحليل البيانات، الذكاء الاصطناعي، والأتمتة. تتميز بقراءة الكود السهلة وبنيتها البسيطة."
"What is a list in Python?","A list is an ordered, mutable collection that can store multiple items of different data types. Lists are defined using square brackets and support indexing, slicing, and various methods. They are one of the most versatile data structures in Python."
"ما الفرق بين list و tuple؟","القائمة list قابلة للتعديل بينما tuple غير قابلة للتعديل بعد إنشائها. القوائم تستخدم أقواس مربعة [] بينما tuples تستخدم أقواس دائرية (). tuples أسرع في الأداء وتستخدم ذاكرة أقل."
"What is a Python decorator?","A decorator is a function that modifies the behavior of another function without changing its source code. It wraps another function and extends its functionality. Decorators use the @decorator_name syntax above the function definition."
"كيف تتعامل مع الاستثناءات في Python؟","نستخدم try-except blocks للتعامل مع الأخطاء. نضع الكود المحتمل حدوث خطأ فيه في try، ونعالج الخطأ في except. يمكن إضافة else للتنفيذ عند عدم وجود أخطاء و finally للتنفيذ دائماً."
"What is list comprehension?","List comprehension is a concise way to create lists in Python using a single line of code. It consists of brackets containing an expression followed by a for clause. It's more readable and faster than traditional for loops for creating lists."
"ما هي الوظيفة lambda في Python؟","lambda هي وظيفة مجهولة صغيرة تُكتب في سطر واحد. تُستخدم للعمليات البسيطة التي لا تحتاج لتعريف function كامل. تُكتب بالصيغة: lambda arguments: expression."
"What is the difference between '==' and 'is'?","== checks if two objects have the same value, while 'is' checks if they are the same object in memory. == compares data equality, 'is' compares identity. Use == for value comparison and 'is' for checking None or singleton objects."
"ما هو pip في Python؟","pip هو مدير الحزم الرسمي لـ Python يُستخدم لتثبيت وإدارة المكتبات الخارجية. يسمح بتثبيت حزم من Python Package Index بسهولة. الأمر الأساسي هو: pip install package_name."
"What are *args and **kwargs?","*args allows a function to accept any number of positional arguments as a tuple. **kwargs allows a function to accept any number of keyword arguments as a dictionary. They provide flexibility when you don't know how many arguments will be passed."
"كيف تقرأ ملف في Python؟","نستخدم الدالة open() مع وضع القراءة 'r'. الطريقة الأفضل هي استخدام with open('file.txt', 'r') as f: لضمان إغلاق الملف تلقائياً. يمكن استخدام read() أو readline() أو readlines() لقراءة المحتوى."
"What is a virtual environment?","A virtual environment is an isolated Python environment that allows you to install packages independently for different projects. It prevents dependency conflicts between projects. Created using venv module or virtualenv package."
"ما هو الفرق بين append و extend؟","append() تضيف عنصر واحد في نهاية القائمة حتى لو كان قائمة. extend() تضيف كل عناصر قائمة أخرى إلى القائمة الأصلية. append([1,2]) تضيف قائمة كعنصر واحد، extend([1,2]) تضيف 1 و 2 كعناصر منفصلة."
"What is the purpose of __init__ method?","__init__ is a constructor method that initializes a new instance of a class. It's automatically called when an object is created. It sets up initial values for object attributes and performs any setup needed."
"ما هي المكتبة pandas؟","pandas مكتبة قوية لتحليل ومعالجة البيانات في Python. توفر هياكل بيانات مثل DataFrame و Series لتنظيم البيانات. تُستخدم بكثرة في علم البيانات للتنظيف، التحليل، والتحويل."
"What is JavaScript?","JavaScript is a high-level, interpreted programming language primarily used for web development. It enables interactive web pages and runs in browsers as well as servers (Node.js). It supports object-oriented, imperative, and functional programming styles."
"What is the difference between var, let, and const?","var has function scope and can be redeclared, while let and const have block scope. let allows reassignment but const does not allow reassignment after initialization. const and let were introduced in ES6 to solve var's scoping issues."
"What is a closure in JavaScript?","A closure is a function that has access to variables in its outer (enclosing) function's scope, even after the outer function has returned. It remembers the environment in which it was created. Closures are commonly used for data privacy and creating function factories."
"What is the difference between == and ===?","== performs type coercion and checks for value equality, while === checks for both value and type equality. === is stricter and doesn't convert types. Using === is generally recommended to avoid unexpected type conversions."
"What is the DOM?","The Document Object Model (DOM) is a programming interface for HTML and XML documents. It represents the page structure as a tree of objects that can be manipulated with JavaScript. The DOM allows dynamic changes to content, structure, and styling."
"What is an arrow function?","An arrow function is a concise syntax for writing functions introduced in ES6. It uses => syntax and doesn't have its own 'this' binding. Arrow functions are ideal for short callbacks and maintain the context of the surrounding code."
"What is event bubbling?","Event bubbling is when an event starts from the target element and propagates up through its ancestors in the DOM tree. The event triggers handlers on the target first, then moves up to parent elements. It can be stopped using stopPropagation()."
"What is a Promise?","A Promise is an object representing the eventual completion or failure of an asynchronous operation. It has three states: pending, fulfilled, or rejected. Promises help avoid callback hell and make asynchronous code more manageable."
"What is async/await?","Async/await is syntactic sugar built on top of Promises for writing asynchronous code. The async keyword defines an asynchronous function, and await pauses execution until the Promise resolves. It makes asynchronous code look and behave like synchronous code."
"What is the spread operator?","The spread operator (...) expands an iterable (array, string, object) into individual elements. It's used for copying arrays/objects, merging them, or passing array elements as function arguments. Introduced in ES6, it provides cleaner syntax than older methods."
"ما هو التعلم الآلي؟","التعلم الآلي هو فرع من الذكاء الاصطناعي يمكّن الأنظمة من التعلم والتحسين من التجربة دون برمجة صريحة. يستخدم الخوارزميات لتحليل البيانات، التعلم منها، واتخاذ القرارات. يُطبق في التعرف على الصور، معالجة اللغة، والتنبؤات."
"ما الفرق بين التعلم الخاضع للإشراف وغير الخاضع للإشراف؟","التعلم الخاضع للإشراف يستخدم بيانات مُصنفة مسبقاً لتدريب النموذج على التنبؤ. التعلم غير الخاضع للإشراف يعمل مع بيانات غير مُصنفة لاكتشاف الأنماط والتجميع. الأول يحتاج معلم، والثاني يكتشف البنية بنفسه."
"ما هي الشبكة العصبية؟","الشبكة العصبية هي نموذج حاسوبي مستوحى من الدماغ البشري يتكون من طبقات من العُقد المترابطة. كل عقدة تعالج المعلومات وترسلها للطبقة التالية. تُستخدم في التعلم العميق لحل مشاكل معقدة كالتعرف على الصور والصوت."
"ما هو overfitting؟","Overfitting يحدث عندما يتعلم النموذج التفاصيل والضوضاء في بيانات التدريب بشكل مفرط. يؤدي لأداء ممتاز على بيانات التدريب لكن ضعيف على بيانات جديدة. يُعالج بتقليل التعقيد، زيادة البيانات، أو استخدام regularization."
"ما هو الفرق بين classification و regression؟","التصنيف classification يتنبأ بفئات منفصلة (مثل: قطة أو كلب). الانحدار regression يتنبأ بقيم مستمرة (مثل: السعر أو الحرارة). كلاهما من التعلم الخاضع للإشراف لكن نوع الإخراج مختلف."
"ما هي مكتبة scikit-learn؟","scikit-learn مكتبة Python شهيرة للتعلم الآلي توفر خوارزميات جاهزة. تتضمن أدوات للتصنيف، الانحدار، التجميع، ومعالجة البيانات. سهلة الاستخدام وموثقة جيداً، مناسبة للمبتدئين والمحترفين."
